"Series Data"
"D:\WORKSPACE\SMITHA\RESEARCH WORKS\FRHA_Related\FORV SS417II\ADCP 417 leg 2\CR417_L2010_000000.LTA"
"Broadband 76.8 kHz"
"Pings/Ens ="	197
"Time/Ping = 00:01.50"
"First Ensemble Date = 25/06/06"
"First Ensemble Date = 25/06/06"
"First Ensemble Time = 14:59:51.09"
"1st Bin Range (m) = "	12.47
"Bin Size (m) ="	4.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Hea"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	FLat	FLon	LLat	LLon	BD1	BD2	BD3	BD4
	801	6	6	25	11	49	51	9		 127.70	48	60	32	87	60	41	64	96	37	65	84	25	69	65	23	53	26	60	32	61	-8	36	40	7	13	-30	-12	24	-8	-4	24	5	-23	18	-14	-7	-9	4	12	-13	 48.84	 71.01	 51.64	 87.89	 62.16	 51.63	 65.67	 99.87	 38.88	 65.42	 87.96	 26.24	 72.85	 67.60	 27.49	 53.86	 27.97	 60.87	 34.24	 63.40	 99.73	 58.68	 39.02	 84.93	 77.53	125.69	101.34	 76.09	102.69	 93.53	 73.78	 78.47	108.59	 74.25	121.33	 98.22	109.47	 85.64	 69.15	102.08	9.92721330	76.02836657	9.92717141	76.02830777    2702    2710    2697    2695
	802	6	6	25	11	59	51	9		 125.53	63	62	24	104	74	41	47	90	44	65	93	33	80	64	13	56	37	67	31	59	7	32	28	-1	11	-17	-24	28	-7	-9	18	-5	-24	21	-12	-13	2	8	14	-16	 63.58	 70.45	 37.51	104.15	 75.52	 44.64	 53.56	 94.52	 45.34	 66.31	 95.01	 34.20	 84.06	 67.91	 18.01	 58.46	 37.66	 67.52	 35.23	 61.42	 83.16	 62.26	 41.67	 90.92	 81.04	112.64	117.32	 72.26	 99.80	 98.31	 78.49	 98.57	107.26	 71.31	131.92	103.68	 86.59	 83.07	 65.22	105.30	9.92420936	76.03210782	9.92411599	76.03203777    2707    2708    2694    2691
	803	6	6	25	12	9	51	9		 126.28	82	75	11	100	69	48	54	88	31	60	98	31	86	66	3	58	37	78	23	68	13	28	14	14	3	-33	-22	30	-7	-10	32	9	-16	31	-17	-15	7	6	13	-14	 83.80	 80.63	 18.02	101.13	 69.64	 59.00	 58.55	 93.69	 32.54	 61.76	104.07	 32.82	 87.78	 73.84	 17.63	 60.74	 38.12	 78.85	 27.15	 70.13	 80.93	 69.12	 37.98	 82.04	 87.25	124.33	112.14	 70.96	103.86	 99.33	 71.71	 73.59	100.87	 64.96	168.68	104.98	 78.62	 85.07	 61.08	101.94	9.91968861	76.03506238	9.91973271	76.03502415    2705    2703    2696    2694
	804	6	6	25	12	19	51	9		 127.63	78	85	11	92	55	31	49	85	19	75	84	40	81	70	-2	61	42	73	27	78	29	12	26	5	18	-39	-21	42	2	-4	26	-4	-22	43	-28	-5	5	16	2	-14	 83.38	 86.09	 29.28	 93.04	 58.16	 50.22	 53.99	 95.61	 19.47	 75.14	 88.24	 40.88	 84.76	 82.74	 28.78	 62.11	 42.69	 75.48	 27.80	 79.85	 69.55	 81.68	 23.20	 86.66	 71.47	141.06	113.28	 63.31	 81.72	 93.26	 72.29	 96.35	105.48	 58.21	185.13	 94.88	 82.11	 77.25	 84.71	100.16	9.91670717	76.03529889	9.91672417	76.03527588    2709    2707    2700    2694
	805	6	6	25	12	29	51	9		 131.52	88	96	4	101	56	32	35	97	8	71	77	44	67	63	3	58	32	64	22	82	15	14	32	-3	5	-39	-9	33	13	-7	37	-6	-26	36	-40	7	12	18	-4	-12	 89.79	 97.87	 33.10	101.58	 56.90	 51.34	 36.87	103.30	 16.18	 72.01	 86.37	 44.93	 72.88	 73.49	 41.06	 59.18	 34.79	 67.55	 22.77	 83.58	 80.15	 81.27	  8.14	 92.14	 84.87	140.50	104.41	 71.23	 30.20	 95.66	 64.57	 97.92	111.41	 60.16	175.36	 83.17	 68.24	 74.07	101.48	 98.79	9.91476101	76.03923650	9.91481042	76.03921647    2710    2708    2704    2692
	806	6	6	25	12	39	51	9		 136.01	69	89	17	97	53	30	47	88	21	75	77	47	57	67	8	66	43	72	22	85	0	3	50	-9	-5	-31	-16	27	26	0	30	-2	-32	31	-28	10	17	9	4	-15	 69.61	 89.13	 53.56	 97.98	 53.90	 43.98	 50.63	 92.35	 34.06	 75.93	 83.42	 47.75	 65.83	 74.50	 29.87	 67.36	 46.67	 73.54	 22.72	 86.98	 89.30	 87.47	 18.81	 95.30	 95.46	136.56	109.48	 72.65	 39.87	 90.38	 68.91	 92.92	119.72	 65.22	163.20	 80.98	 68.02	 82.86	 78.00	100.41	9.91357747	76.04158141	9.91350778	76.04149254    2711    2706    2704    2691
	807	6	6	25	12	49	51	9		 139.92	54	102	4	103	38	35	47	103	19	72	78	51	67	76	18	70	32	71	11	88	16	0	60	-2	3	-32	-2	38	11	0	31	-3	-22	27	-19	13	20	10	8	-7	 56.47	102.79	 60.44	103.48	 38.41	 47.97	 47.34	110.27	 22.58	 72.13	 84.52	 51.13	 70.96	 81.45	 27.14	 72.21	 38.74	 72.30	 14.13	 88.68	 73.11	 90.23	  4.15	 91.64	 85.37	132.40	 92.49	 69.35	 58.57	 90.77	 68.47	 93.93	108.46	 70.63	137.21	 79.19	 58.05	 81.83	 54.06	 94.67	9.91454766	76.03710974	9.91454813	76.03715434    2715    2710    2700    2694
	808	6	6	25	12	59	51	9		 140.30	40	114	18	108	39	47	44	90	12	61	63	57	78	72	12	73	23	67	8	84	31	-12	74	15	-10	-34	7	23	4	2	31	5	-33	15	-22	16	28	10	1	-5	 50.96	115.12	 76.43	109.30	 41.16	 58.35	 44.81	 94.00	 13.58	 61.66	 71.03	 58.07	 85.72	 74.07	 25.30	 74.84	 37.05	 68.60	  8.25	 84.28	 52.09	 96.09	 14.27	 81.96	104.73	125.92	 80.17	 75.26	 71.15	 87.27	 63.40	 84.60	112.86	 78.00	151.24	 77.56	 38.92	 80.96	 79.13	 93.83	9.91653848	76.04023149	9.91645734	76.04024475    2716    2709    2701    2693
	809	6	6	25	13	9	51	9		 145.15	23	118	3	103	31	35	43	86	9	65	53	68	86	84	22	74	27	71	5	85	45	-9	82	0	-4	-50	22	20	4	0	26	-4	-28	24	-9	8	18	3	-6	-6	 51.71	118.90	 82.27	103.09	 31.54	 61.48	 48.85	 88.76	 10.27	 65.50	 59.86	 68.42	 90.55	 87.65	 24.25	 74.91	 32.95	 71.14	  8.07	 86.02	 27.32	 94.61	  2.76	 89.65	 97.35	144.45	 62.54	 76.87	 64.35	 90.11	 63.22	 93.63	108.03	 74.02	113.74	 83.56	 55.49	 86.96	141.25	 94.48	9.92040825	76.03823309	9.92039862	76.03816277    2715    2714    2702    2696
	810	6	6	25	13	19	51	9		 141.41	5	110	2	107	48	50	33	76	16	62	56	81	74	74	29	69	37	71	5	75	40	6	89	12	-13	-55	36	24	3	-14	32	3	-25	11	-15	7	15	11	-2	-12	 41.18	110.34	 89.95	108.24	 50.41	 74.39	 49.15	 80.37	 16.66	 63.92	 64.79	 81.09	 79.10	 75.28	 33.49	 70.09	 40.15	 72.58	  6.21	 76.66	  7.12	 86.48	  1.83	 83.48	105.89	137.71	 42.76	 72.36	 78.70	103.36	 60.37	 87.74	108.87	 81.04	118.42	 84.10	 68.04	 80.59	114.43	 99.36	9.92433573	76.03448719	9.92440390	76.03444223    2712    2715    2699    2694
	811	6	6	25	13	29	51	9		 143.73	-14	104	18	101	47	59	32	74	15	68	69	72	86	71	19	62	30	75	4	74	25	18	93	23	-19	-48	43	31	0	-2	42	0	-27	12	-8	-2	10	4	-2	-6	 29.18	106.51	 95.86	103.74	 51.66	 76.47	 54.66	 81.02	 15.21	 68.74	 81.12	 72.57	 90.91	 72.54	 21.45	 62.19	 32.32	 75.69	  4.63	 75.05	330.92	 80.08	 11.37	 77.12	112.47	129.45	 37.04	 67.04	 87.34	 92.22	 58.32	 90.26	107.76	 80.10	112.53	 92.48	 71.80	 86.33	117.67	 95.27	9.92505284	76.03767909	9.92513415	76.03758756    2711    2718    2702    2697
	812	6	6	25	13	39	51	9		 143.17	-9	120	8	88	54	65	39	81	25	78	55	67	96	71	19	57	33	86	8	63	42	33	87	22	-19	-36	45	21	7	0	35	-2	-13	13	-3	6	12	11	-3	-15	 43.34	124.82	 88.07	 90.95	 57.52	 75.40	 59.64	 83.91	 26.22	 78.85	 65.99	 67.92	 97.00	 72.43	 19.75	 58.35	 36.07	 87.51	  9.27	 65.24	347.03	 74.49	  5.50	 75.78	109.53	118.93	 40.90	 75.10	 73.84	 90.64	 57.77	 92.31	 98.06	 79.52	101.16	 83.17	 68.88	 82.26	111.10	104.16	9.92566903	76.03555123	9.92572685	76.03546769    2712    2718    2698    2700
	813	6	6	25	13	49	51	9		 147.26	0	138	-1	81	59	49	45	86	14	75	68	53	93	69	25	56	27	81	-3	64	37	43	80	10	-6	-37	41	20	19	11	23	-12	-25	6	-1	0	13	18	0	-10	 37.31	145.01	 80.46	 82.61	 59.64	 62.42	 61.64	 88.72	 24.76	 76.15	 72.72	 54.93	 96.61	 69.96	 25.66	 56.00	 30.68	 83.73	  3.46	 64.84	  0.57	 72.50	358.99	 82.55	 96.11	127.07	 47.62	 76.59	 36.93	 81.43	 71.15	103.26	105.58	 84.87	 92.35	 89.54	 63.04	 77.12	261.03	 98.95	9.92361908	76.03150315	9.92361376	76.03143012    2713    2719    2698    2700
	814	6	6	25	13	59	51	9		 148.02	-18	126	8	80	53	45	57	87	27	68	63	57	81	59	14	67	16	75	1	54	54	45	61	11	-12	-21	50	12	16	12	19	-1	-34	12	9	-11	19	8	4	-17	 57.45	134.07	 61.98	 81.20	 55.23	 50.55	 76.15	 88.36	 31.97	 69.61	 66.57	 57.82	 88.34	 61.07	 17.13	 68.17	 25.93	 75.54	  4.64	 56.94	340.88	 70.05	  7.81	 81.78	102.66	115.80	 48.69	 82.01	 58.08	 79.82	 72.69	 91.08	113.02	 78.34	 56.36	 99.29	 40.55	 83.70	 19.02	108.29	9.92680027	76.03390312	9.92673809	76.03386535    2712    2717    2698    2702
