id	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	lifeStage	occurrenceStatus	eventID	eventDate	eventTime	habitat	samplingProtocol	waterBody	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	scientificNameID	scientificName
IO/DV/CAR/00127	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/CAR/00127	IO/DV/CAR/00127	1	Female	Adult	present		2018-05-03		Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island, Lakshadweep	2	10	10.86	72.18			P. Purushothaman, CMLRE	2022-08-19	Holthuis, L. B. (1952). A general revision of the Palaemonidae (crustacea Decapod Natantia) of the Americas. II. The subfamily Palaemonidae. The University of Southern California Press Los Angeles, California, 332	urn:lsid:marinespecies.org:taxname:220131	Harpiliopsis depressa
IO/DV/CAR/00128	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/CAR/00128	IO/DV/CAR/00128	1	Female	Adult	present		2018-05-03		Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island, Lakshadweep	2	10	10.86	72.18			P. Purushothaman, CMLRE	2022-08-19	Baby, S. T., Ghosh, S., Mohan, G., Cubelio, S. S., & Sudhakar, M. (2016). Occurrence of Marbled Shrimp Saron marmoratus (Olivier, 1811)(Decapoda: Caridea: Hippolytidae) in Lakshadweep Archipelago, India. In Proceedings of the Zoological Society (Vol. 69, No. 1, pp. 157-160). Springer India.	urn:lsid:marinespecies.org:taxname:210450	Saron marmoratus
IO/DV/CAR/00129	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/CAR/00129	IO/DV/CAR/00129	1	Female	Adult	present		2018-05-03		Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island, Lakshadweep	2	10	10.86	72.18			P. Purushothaman, CMLRE	2022-08-19	Bruce, A. J. (1993). Some coral reef pontoniine shrimps from Vietnam. Asian Marine Biology, 10, 55-75.	urn:lsid:marinespecies.org:taxname:210623	Coralliocaris superba
IO/DV/CAR/00130	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/CAR/00130	IO/DV/CAR/00130	3	Male	Adult	present		2018-05-03		Benthic	SCUBA Diving	Arabian Sea	India	Agatti Island, Lakshadweep	2	10	10.86	72.18			P. Purushothaman, CMLRE	2022-08-19	Bruce, A. J. (1993). Some coral reef pontoniine shrimps from Vietnam. Asian Marine Biology, 10, 55-75.	urn:lsid:marinespecies.org:taxname:210623	Coralliocaris superba
IO/DV/ECD/00232	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00232	IO/DV/ECD/00232	1		Adult	present		2019-05-28	11:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	24	24	10.861	72.21			Usha VP, CMLRE	2020-06-12	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:1306667	Ophiomastix elegans
IO/DV/ECD/00233	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00233	IO/DV/ECD/00233	1		Adult	present		2019-11-06	14:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	20	20	10.866	72.207			Usha VP, CMLRE	2020-06-12	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:213217	Ophiarachnella septimspinosa
IO/DV/ECD/00315	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00315	IO/DV/ECD/00315	1		Adult	present		2019-11-06	14:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	20	20	10.866	72.207			Usha VP, CMLRE	2020-10-09	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:244144	Ophiothrix (Acanthophiothrix) purpurea
IO/DV/ECD/00336	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00336	IO/DV/ECD/00336	1		Adult	present		2019-11-06	14:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	20	20	10.866	72.207			Usha VP, CMLRE	2020-10-13	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:1306667	Ophiomastix elegans
IO/DV/ECD/00350	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00350	IO/DV/ECD/00350	1		Adult	present		2019-05-28	11:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	24	24	10.861	72.21			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:367877	Himerometra robustipinna
IO/DV/ECD/00351	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00351	IO/DV/ECD/00351	2		Adult	present		2019-05-28	11:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	24	24	10.861	72.21			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:213596	Dichrometra palmata
IO/DV/ECD/00352	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00352	IO/DV/ECD/00352	1		Adult	present		2019-05-28	11:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	24	24	10.861	72.21			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:213328	Comanthus wahlbergii
IO/DV/ECD/00353	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00353	IO/DV/ECD/00353	1		Adult	present		2018-11-10	15:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	28	28	10.869	72.206			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:246756	Comaster schlegelii
IO/DV/ECD/00354	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00354	IO/DV/ECD/00354	1		Adult	present		2018-11-10	15:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	28	28	10.869	72.206			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:367877	Himerometra robustipinna
IO/DV/ECD/00355	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00355	IO/DV/ECD/00355	1		Adult	present		2018-11-10	15:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	21	21	10.869	72.206			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:213596	Dichrometra palmata
IO/DV/ECD/00356	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00356	IO/DV/ECD/00356	1		Adult	present		2018-11-10	15:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	21	21	10.869	72.206			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:213328	Comanthus wahlbergii
IO/DV/ECD/00357	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00357	IO/DV/ECD/00357	1		Adult	present		2018-05-06	10:20:00	Benthic	SCUBA Diving	Arabian Sea	India	Kavaratti, Lakshadweep	15	15	11.131	72.717			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:246756	Comaster schlegelii
IO/DV/ECD/00358	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00358	IO/DV/ECD/00358	1		Adult	present		2018-12-12	14:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Kavaratti, Lakshadweep	16	16	10.867	72.167			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:367877	Himerometra robustipinna
IO/DV/ECD/00367	CMLRE	voucher specimen collections	CMLRE	PreservedSpecimen	IO/DV/ECD/00367	IO/DV/ECD/00367	1		Adult	present		2019-05-28	11:00:00	Benthic	SCUBA Diving	Arabian Sea	India	Agatti, Lakshadweep	24	24	10.861	72.21			Usha VP, CMLRE	2020-11-24	Clark, A. M., & Rowe, F. W. E. (1971). Monograph of shallow-water Indo-Pacific echinoderms. British Mus. (Nat. Hist.), London.	urn:lsid:marinespecies.org:taxname:213301	Fromia monilis
